Activity Id,Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),GPX File,Average Pace (seconds)
1fd0d33a-49a2-4da2-9292-02f831b3a5e3,6/20/2024 19:48,Running,2.01,18:52,9:23,6.4,300.0,78.0,157.0,2024-06-20-194818.gpx,563.0
065d77ca-8413-4bb2-8f30-a1cf9753e15c,6/19/2024 12:56,Running,2.15,22:34,10:29,5.73,322.0,151.0,160.0,2024-06-19-125649.gpx,629.0
43e8964a-646b-4f9f-b432-a56ae9207db0,6/16/2024 17:51,Running,2.01,19:41,9:49,6.11,295.0,77.0,144.0,2024-06-16-175103.gpx,589.0
ef26ae07-5f8e-4c2e-a959-a41526587244,6/13/2024 16:25,Running,2.02,20:25,10:06,5.94,247.301,339.0,155.0,2024-06-13-162553.gpx,606.0
f9d37406-d622-43dc-8813-bc0059b2a5de,6/13/2024 16:25,Running,2.11,24:06:00,11:25,5.25,315.0,82.0,156.6818181818182,2024-06-13-162503.gpx,685.0
76953c93-0f68-4891-a75f-8392788244a9,6/11/2024 17:03,Running,0.0,0:01,,5.764814814814815,0.0,0.0,152.0,2024-06-11-170300.gpx,627.2592592592592
016272ee-a7cb-40d1-9fb1-e89e214bf205,6/11/2024 16:43,Running,2.01,19:28,9:41,6.2,243.48839,340.0,159.0,2024-06-11-164323.gpx,581.0
1888cffe-6f82-495f-9575-579ad3d169c0,6/11/2024 16:43,Running,2.03,20:04,9:52,6.08,302.0,93.0,156.6818181818182,2024-06-11-164314.gpx,592.0
4e0d89ed-5b21-463d-8311-03fe35d74da5,11/26/2023 16:14,Running,1.79,21:09,11:47,5.09,276.0,95.0,156.6818181818182,2023-11-26-161412.gpx,707.0
7794ebe9-1da4-49c8-b186-f183f4dd3bb2,10/8/2023 12:04,Running,3.1,29:30:00,9:31,6.31,467.0,145.0,161.0,2023-10-08-120433.gpx,571.0
768c2980-2a20-4037-b598-37a4ff104052,10/4/2023 9:57,Running,3.02,31:27:00,10:25,5.76,457.0,146.0,165.0,2023-10-04-095707.gpx,625.0
42232153-070b-435d-b7c4-9e3f1a3b641e,10/3/2023 8:23,Running,1.91,18:09,9:29,6.33,288.0,96.0,156.0,2023-10-03-082352.gpx,569.0
86d2a95f-da0a-4bb6-be81-49759a76ef8a,10/2/2023 9:21,Running,2.64,25:55:00,9:50,6.11,397.0,133.0,157.0,2023-10-02-092101.gpx,590.0
13eda478-89e6-48fc-8bb8-bf6dabfa68f4,9/27/2023 18:51,Running,3.41,34:01:00,9:58,6.02,511.0,160.0,165.0,2023-09-27-185128.gpx,598.0
43e2b98f-6d64-4aa4-b587-51c116bec540,9/26/2023 20:45,Running,2.28,22:25,9:50,6.1,337.0,107.0,174.0,2023-09-26-204557.gpx,590.0
26bad507-9506-4aa3-ac24-99cdeb801b60,9/25/2023 18:37,Running,2.85,28:49:00,10:07,5.93,429.0,139.0,156.6818181818182,2023-09-25-183732.gpx,607.0
9e00d3e4-4169-4ec4-a65d-bd299052bd56,9/16/2023 19:12,Running,4.01,45:06:00,11:14,5.34,599.0,145.0,166.0,2023-09-16-191230.gpx,674.0
74e1d1bb-08ab-4755-aed4-d3e52f76c5d6,9/11/2023 21:13,Running,4.02,43:40:00,10:52,5.52,586.0,211.0,155.0,2023-09-11-211315.gpx,652.0
26eb24ee-3f44-4ccd-9b17-8292e4795a19,9/9/2023 18:57,Running,4.04,41:58:00,10:23,5.78,592.0,167.0,149.0,2023-09-09-185703.gpx,623.0
c3c0f61e-07db-4e51-a333-ee4db9394fb1,9/6/2023 19:29,Running,4.04,44:01:00,10:54,5.5,595.0,167.0,154.0,2023-09-06-192913.gpx,654.0
d270929f-95e8-49d9-8fac-0517bf72be5a,8/14/2023 19:07,Running,4.01,44:23:00,11:05,5.42,592.0,219.0,156.6818181818182,2023-08-14-190717.gpx,665.0
535c94cc-4323-4e30-a77a-143ecb38512b,8/11/2023 20:19,Running,3.34,34:07:00,10:13,5.87,496.0,177.0,165.0,2023-08-11-201935.gpx,613.0
2edeb3a2-e160-4547-b3d7-bab45d3ded0d,8/9/2023 19:45,Running,2.33,24:14:00,10:23,5.78,354.0,131.0,145.0,2023-08-09-194525.gpx,623.0
734f33ee-5bec-4ddf-9d66-8762cf9bd75b,8/7/2023 19:14,Running,3.64,39:09:00,10:46,5.57,539.0,175.0,159.0,2023-08-07-191444.gpx,646.0
